SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K01,"The role of Australia’s financial sector and its effect on economic decision-making by individuals, businesses and global markets",,"Identifying different organisations within Australia’s financial sector, such as banks, credit unions and building societies, and explaining their functions; for example, collecting deposits, pooling savings, and lending funds to individuals and businesses",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K01,"The role of Australia’s financial sector and its effect on economic decision-making by individuals, businesses and global markets",,"Explaining the nature of investment or the financial products and services that enable people to receive income in the future; for example, shares, earning interest on term deposits, managed funds or superannuation",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K01,"The role of Australia’s financial sector and its effect on economic decision-making by individuals, businesses and global markets",,"Explaining the difference between good and bad debt, how to manage debt, the risks of over-indebtedness and the importance of having a savings buffer",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K01,"The role of Australia’s financial sector and its effect on economic decision-making by individuals, businesses and global markets",,"Explaining the forces that shape and affect Australia’s financial landscape, such as financial deregulations, technological changes, economic and business activities, and consumer and business sentiment about the future",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K01,"The role of Australia’s financial sector and its effect on economic decision-making by individuals, businesses and global markets",,"Identifying examples and explaining how Australia’s financial sector supports businesses in global markets; for example, the nature of global financial services, payment systems – clearing and settlement, access to currencies, insurance and capital",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K02,"How economic decision-making involves the interdependence of consumers, businesses, the financial sector and government",,"Explaining the interdependent nature of economic decision-making within local, national and global contexts; for example, consumers purchase goods and services, businesses organise production and distribution, and the financial sector facilitates investment",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K02,"How economic decision-making involves the interdependence of consumers, businesses, the financial sector and government",,"Examining how the nature of globalisation supports transnational corporations use of supply chains to develop, produce and deliver products or services, and explaining the advantages or disadvantages for businesses, workers and consumers",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K02,"How economic decision-making involves the interdependence of consumers, businesses, the financial sector and government",,"Analysing the implications of interdependence within the global economy for Australian consumers, workers and businesses; for example, costs of the product or service and impacts of disruption or changes to regulations in another country",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K02,"How economic decision-making involves the interdependence of consumers, businesses, the financial sector and government",,"Identifying examples and explaining how changes to a nation’s economic conditions affects other nations; for example, rising unemployment affects consumer demand in one country and impacts the exports of goods and services in another country",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K03,"The reasons Australia trades with other nations, and the patterns of trade between Australia and Asia",,"Explaining the reasons countries trade, such as variations in the quantity and quality of economic resources within and between countries, to sell surplus goods and services, or to buy goods and services required by individuals and businesses",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K03,"The reasons Australia trades with other nations, and the patterns of trade between Australia and Asia",,"Identifying the benefits of trade; for example, economic benefits (such as increased production, specialisation, increased household incomes, increased employment), benefits for individuals and businesses (such as opportunities to sell surpluses, competition encouraging greater choice, connections for inventors and entrepreneurs with future discoveries), and national benefits (such as relationships between countries, access to health and education services, and diversified sources of national income)",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K03,"The reasons Australia trades with other nations, and the patterns of trade between Australia and Asia",,"Analysing patterns of trade between Australia and the countries of Asia over time; for example, total value of trade each year, composition of trade (such as category, goods, services), direction of trade (such as exports to which countries, imports from which countries), percentage change over a decade (such as increase or decrease)",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K03,"The reasons Australia trades with other nations, and the patterns of trade between Australia and Asia",,Identifying similarities and differences or trends in the composition and direction of trade between Australia and Asia now and 50 years ago,
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K03,"The reasons Australia trades with other nations, and the patterns of trade between Australia and Asia",,Explaining the interdependent nature of trade between Australia and the countries of Asia,
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Identifying and explaining processes used by First Nations Australian businesses to out-perform competitors and innovate in global markets; for example, promoting brand image recognition or the uniqueness of experiences, managing cultural and intellectual property, copyright and licensing, and collaborating through the First Nations Chamber of Commerce and Industry",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Identifying and explaining the processes First Nations Australian businesses use to maintain, control, protect and develop their cultural expressions in goods and/or services; for example, designing products, licensing of art and music, or consulting on locations of cultural significance for movies, television programs and other commercial activities",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Explaining the reasons businesses seek to build or create a competitive advantage; for example, to meet the changing demands of a competitive global market and improve their profit margins",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Explaining processes that businesses use to build connections, such as working with other businesses within the industry to share promotion costs, working with government to increase exports, developing highly skilled professionals and leaders in different industries",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Explaining processes that businesses use to produce goods and services at a lower cost, such as research and development; improving efficiency in development, production or delivery processes; utilising local resources, and outsourced labour in the global economy",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K04,"Processes that businesses use to create and maintain competitive advantage, including the role of entrepreneurs",,"Explaining processes that businesses use to innovate and differentiate products and services from competitors; for example, identifiable marketable attributes, and use of advertising and social media",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K05,How individuals and businesses manage consumer and financial risks and rewards,,"Discussing examples of consumer and financial risk to individuals and businesses, such as scams, identity threat or fraudulent transactions",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K05,How individuals and businesses manage consumer and financial risks and rewards,,"Discussing examples of consumer reward programs; for example, innovative products and services, benefits accrued through loyalty schemes, and rewards for building savings and making investments (such as shares, term deposits, managed funds or home ownership)",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K05,How individuals and businesses manage consumer and financial risks and rewards,,"Identifying and explaining strategies individuals use to manage consumer and financial risk; for example, through setting financial goals, having insurance and savings, and being alert to scams",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K05,How individuals and businesses manage consumer and financial risks and rewards,,"Identifying and explaining practices used by businesses to protect the safety of consumers; for example, mandatory and voluntary standards, product safety recalls or cooling-off periods",
HASS,Economics and Business,Year 9,Knowledge and understanding,,AC9HE9K05,How individuals and businesses manage consumer and financial risks and rewards,,"Reflecting on the importance of ethical decision-making and corporate social responsibility when making consumer and financial decisions; for example, considering consequences for themselves, their families, the broader community and/or the environment",
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S01,Develop and modify questions to investigate a contemporary economic and business issue,,"Developing questions to investigate a complex issue, such as “How do participants in the global economy interact?” and “Why does international trade benefit Australian society?”",
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S01,Develop and modify questions to investigate a contemporary economic and business issue,,"Developing and modifying questions to improve the focus of an investigation, using economic and business concepts and terms such as “How can consumers protect themselves from risk?” and “How do businesses create and maintain a competitive advantage?”",
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S02,"Locate, select and analyse information and data from a range of sources",,"Locating online sources using contextually specific terms (for example, “global markets”) or criteria (for example, find “case studies related to trade between Australia and Asia”)",
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S02,"Locate, select and analyse information and data from a range of sources",,Selecting and analysing information and data for relevance by asking questions such as “How will the data or information help answer this economic or business question?” or “How will the data or information inform a response to an economic or business issue?”,
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S02,"Locate, select and analyse information and data from a range of sources",,"Selecting and analysing information and data for reliability by asking questions such as “How and when was it collected?”, “Who collected the data?” and “For what purpose was the data collected?”",
HASS,Economics and Business,Year 9,Skills,Questioning and researching,AC9HE9S02,"Locate, select and analyse information and data from a range of sources",,"Selecting and presenting data in appropriate formats, using specialised digital tools and processes; for example, a table and graph showing the composition and direction of trade between Australia and Asia",
HASS,Economics and Business,Year 9,Skills,Interpreting and analysing,AC9HE9S03,"Interpret information and data, explaining economic and business issues, trends and economic cause-and-effect relationships, and make predictions about consumer and financial impacts",,"Interpreting information to explain the nature and extent of economic and business issues; for example, the way Australian businesses operate in the global economy",
HASS,Economics and Business,Year 9,Skills,Interpreting and analysing,AC9HE9S03,"Interpret information and data, explaining economic and business issues, trends and economic cause-and-effect relationships, and make predictions about consumer and financial impacts",,"Interpreting multi-variable data to explain direction and time period for a change; for example, change in the direction and composition of Australia’s trade in the past 10, 20 or 50 years",
HASS,Economics and Business,Year 9,Skills,Interpreting and analysing,AC9HE9S03,"Interpret information and data, explaining economic and business issues, trends and economic cause-and-effect relationships, and make predictions about consumer and financial impacts",,"Explaining relationships between the actions of individuals and businesses; for example, the way businesses operate in the global economy and implications for the Australian market",
HASS,Economics and Business,Year 9,Skills,Interpreting and analysing,AC9HE9S03,"Interpret information and data, explaining economic and business issues, trends and economic cause-and-effect relationships, and make predictions about consumer and financial impacts",,"Explaining trends to make predictions about who will be affected and how; for example, the trend for money lost in scams and age groups most affected, and predictions about how it will affect the behaviour of individuals and businesses",
