SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Health and Physical Education,Health and Physical Education,Foundation,"By the end of Foundation, students describe similarities and differences between themselves and others, and different emotions people experience.","Personal, social and community health","between,describe,differences,different,emotions,experience,foundation,others,people,similarities,students,themselves","AC9HPFP03,AC9HPFP01",High
Health and Physical Education,Health and Physical Education,Foundation,They demonstrate personal and social skills to interact respectfully with others.,"Personal, social and community health","demonstrate,interact,others,personal,respectfully,skills,social",AC9HPFP02,High
Health and Physical Education,Health and Physical Education,Foundation,They identify and demonstrate protective behaviours and help-seeking strategies to keep themselves safe.,"Personal, social and community health","behaviours,demonstrate,help-seeking,identify,keep,protective,safe,strategies,themselves","AC9HPFP05,AC9HPFP04",High
Health and Physical Education,Health and Physical Education,Foundation,Students identify how health information can be used in their lives.,"Personal, social and community health","health,identify,information,lives,students,used",AC9HPFP06,High
Health and Physical Education,Health and Physical Education,Foundation,Students apply fundamental movement skills to manipulate objects and space in a range of movement situations.,Movement and physical activity,"apply,fundamental,manipulate,movement,objects,range,situations,skills,space,students","AC9HPFM01,AC9HPFM02",High
Health and Physical Education,Health and Physical Education,Foundation,Students identify the benefits of being physically active and how rules make play fair and inclusive.,Movement and physical activity,"active,benefits,fair,identify,inclusive,make,physically,play,rules,students","AC9HPFM03,AC9HPFM04",High
Health and Physical Education,Health and Physical Education,Years 1-2,"By the end of Year 2, students explain how personal qualities contribute to identities.","Personal, social and community health","contribute,explain,identities,personal,qualities,students,year",AC9HP2P01,High
Health and Physical Education,Health and Physical Education,Years 1-2,They describe how emotional responses affect their own and others' feelings.,"Personal, social and community health","affect,describe,emotional,feelings,others',responses",AC9HP2P03,High
Health and Physical Education,Health and Physical Education,Years 1-2,They demonstrate skills and describe strategies required to develop respectful relationships.,"Personal, social and community health","demonstrate,describe,develop,relationships,required,respectful,skills,strategies",AC9HP2P02,High
Health and Physical Education,Health and Physical Education,Years 1-2,Students apply protective behaviours and help-seeking strategies to keep themselves and others safe.,"Personal, social and community health","apply,behaviours,help-seeking,keep,others,protective,safe,strategies,students,themselves","AC9HP2P05,AC9HP2P04",High
Health and Physical Education,Health and Physical Education,Years 1-2,They explain why health information is important for making choices.,"Personal, social and community health","choices,explain,health,important,information,making",AC9HP2P06,High
Health and Physical Education,Health and Physical Education,Years 1-2,Students apply fundamental movement skills in different movement situations and explain how they move with objects and in space effectively.,Movement and physical activity,"apply,different,effectively,explain,fundamental,move,movement,objects,situations,skills,space,students","AC9HP2M01,AC9HP2M02",High
Health and Physical Education,Health and Physical Education,Years 1-2,They describe factors that make physical activity beneficial.,Movement and physical activity,"activity,beneficial,describe,factors,make,physical",AC9HP2M03,High
Health and Physical Education,Health and Physical Education,Years 1-2,Students develop and apply rules while collaborating with others in a range of movement contexts.,Movement and physical activity,"apply,collaborating,contexts,develop,movement,others,range,rules,students,while",AC9HP2M04,High
Health and Physical Education,Health and Physical Education,Years 3-4,"By the end of Year 4, students identify influences that strengthen identities and describe strategies to manage emotions, changes and transitions.","Personal, social and community health","changes,describe,emotions,identify,identities,influences,manage,strategies,strengthen,students,transitions,year","AC9HP4P01,AC9HP4P02",High
Health and Physical Education,Health and Physical Education,Years 3-4,They apply skills and strategies to interact respectfully with others.,"Personal, social and community health","apply,interact,others,respectfully,skills,strategies","AC9HP4P04,AC9HP4P05",High
Health and Physical Education,Health and Physical Education,Years 3-4,They describe the influences that inclusion and stereotypes have on choices and actions.,"Personal, social and community health","actions,choices,describe,inclusion,influences,stereotypes","AC9HP4P03,AC9HP4P05",High
Health and Physical Education,Health and Physical Education,Years 3-4,Students describe and apply protective behaviours and help-seeking strategies to keep themselves and others safe online and offline.,"Personal, social and community health","apply,behaviours,describe,help-seeking,keep,offline,online,others,protective,safe,strategies,students,themselves","AC9HP4P08,AC9HP4P07",High
Health and Physical Education,Health and Physical Education,Years 3-4,"They interpret health information to apply strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","apply,enhance,health,information,interpret,others’,relationships,safety,strategies,wellbeing","AC9HP4P10,AC9HP4P09",High
Health and Physical Education,Health and Physical Education,Years 3-4,Students apply fundamental movement skills and demonstrate movement concepts across a range of situations.,Movement and physical activity,"across,apply,concepts,demonstrate,fundamental,movement,range,situations,skills,students","AC9HP4M01,AC9HP4M03",High
Health and Physical Education,Health and Physical Education,Years 3-4,They adapt movement strategies to enhance movement outcomes.,Movement and physical activity,"adapt,enhance,movement,outcomes,strategies",AC9HP4M02,High
Health and Physical Education,Health and Physical Education,Years 3-4,Students examine factors that influence participation and propose strategies to incorporate regular physical activity into their own and others’ lives.,Movement and physical activity,"activity,examine,factors,incorporate,influence,lives,others’,participation,physical,propose,regular,strategies,students","AC9HP4M05,AC9HP4M04,AC9HP4M06",High
Health and Physical Education,Health and Physical Education,Years 3-4,They demonstrate fair play and inclusion through a range of roles in movement contexts.,Movement and physical activity,"contexts,demonstrate,fair,inclusion,movement,play,range,roles","AC9HP4M09,AC9HP4M08",High
Health and Physical Education,Health and Physical Education,Years 5-6,"By the end of Year 6, students explain how different factors influence identities.","Personal, social and community health","different,explain,factors,identities,influence,students,year",AC9HP6P01,High
Health and Physical Education,Health and Physical Education,Years 5-6,"They propose strategies to manage emotions, developmental changes and transitions.","Personal, social and community health","changes,developmental,emotions,manage,propose,strategies,transitions",AC9HP6P02,High
Health and Physical Education,Health and Physical Education,Years 5-6,"They propose strategies to demonstrate respect, empathy and inclusion.","Personal, social and community health","demonstrate,empathy,inclusion,propose,respect,strategies","AC9HP6P04,AC9HP6P05",High
Health and Physical Education,Health and Physical Education,Years 5-6,They explain how stereotypes influence roles and responsibilities.,"Personal, social and community health","explain,influence,responsibilities,roles,stereotypes",AC9HP6P03,High
Health and Physical Education,Health and Physical Education,Years 5-6,"Students explain how communication skills, protective behaviours and help-seeking strategies keep themselves and others safe online and offline.","Personal, social and community health","behaviours,communication,explain,help-seeking,keep,offline,online,others,protective,safe,skills,strategies,students,themselves","AC9HP6P08,AC9HP6P07",High
Health and Physical Education,Health and Physical Education,Years 5-6,"They analyse health information to refine strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","analyse,enhance,health,information,others’,refine,relationships,safety,strategies,wellbeing","AC9HP6P10,AC9HP6P09",High
Health and Physical Education,Health and Physical Education,Years 5-6,Students refine and modify movement skills and apply movement concepts across a range of situations.,Movement and physical activity,"across,apply,concepts,modify,movement,range,refine,situations,skills,students","AC9HP6M01,AC9HP6M03",High
