SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Technologies,Design and Technologies,Foundation,"By the end of Foundation students identify familiar products, services and environments.",Knowledge and understanding,"foundation, identify, familiar, products, services, environments",AC9TDEFK01,High
Technologies,Design and Technologies,Foundation,They create a designed solution for a school-selected context.,Processes and production skills,"create, designed, solution, school, selected, context",AC9TDEFP01,High
Technologies,Design and Technologies,Foundation,"Students create, communicate and choose design ideas.",Processes and production skills,"create, communicate, choose, design, ideas",AC9TDEFP01,High
Technologies,Design and Technologies,Foundation,They follow steps and use materials and equipment to safely make a designed solution.,Processes and production skills,"follow, steps, materials, equipment, safely, make, designed, solution",AC9TDEFP01,High
Technologies,Design and Technologies,Years 1-2,"By the end of Year 2 students describe the purpose of familiar products, services and environments.",Knowledge and understanding,"year, describe, purpose, familiar, products, services, environments",AC9TDE2K01,High
Technologies,Design and Technologies,Years 1-2,For each of the 2 prescribed technologies contexts they describe the features and uses of technologies and create designed solutions.,Processes and production skills,"each, prescribed, technologies, contexts, describe, features, uses, create, designed, solutions","AC9TDE2K02, AC9TDE2K03, AC9TDE2K04",High
Technologies,Design and Technologies,Years 1-2,Students select design ideas based on their personal preferences.,Processes and production skills,"select, design, ideas, based, personal, preferences",AC9TDE2P03,High
Technologies,Design and Technologies,Years 1-2,They communicate design ideas using models and drawings and follow sequenced steps to safely produce designed solutions.,Processes and production skills,"communicate, design, ideas, models, drawings, follow, sequenced, steps, safely, produce","AC9TDE2P01, AC9TDE2P02, AC9TDE2P04",High
Technologies,Design and Technologies,Years 3-4,"By the end of Year 4 students describe how people design products, services and environments to meet the needs of people, including sustainability.",Knowledge and understanding,"year, describe, people, design, products, services, environments, meet, needs, sustainability",AC9TDE4K01,High
Technologies,Design and Technologies,Years 3-4,For each of the 2 prescribed technologies contexts they describe the features and uses of technologies and create designed solutions.,Knowledge and understanding,"each, prescribed, technologies, contexts, describe, features, uses, create, designed, solutions","AC9TDE4K02, AC9TDE4K03, AC9TDE4K04",High
Technologies,Design and Technologies,Years 3-4,Students select design ideas against design criteria.,Processes and production skills,"select, design, ideas, against, criteria",AC9TDE4P04,High
Technologies,Design and Technologies,Years 3-4,They communicate design ideas using models and drawings including annotations and symbols.,Processes and production skills,"communicate, design, ideas, models, drawings, annotations, symbols",AC9TDE4P02,High
Technologies,Design and Technologies,Years 3-4,Students plan and sequence steps and use technologies and techniques to safely produce designed solutions.,Processes and production skills,"plan, sequence, steps, technologies, techniques, safely, produce, designed, solutions","AC9TDE4P03, AC9TDE4P05",High
Technologies,Design and Technologies,Years 5-6,"By the end of Year 6 students explain how people design products, services and environments to meet the needs of communities, including sustainability.",Knowledge and understanding,"year, explain, people, design, products, services, environments, meet, needs, communities",AC9TDE6K01,High
Technologies,Design and Technologies,Years 5-6,For each of the 3 prescribed technologies contexts they explain how the features of technologies impact on design decisions and they create designed solutions.,Knowledge and understanding,"each, prescribed, technologies, contexts, explain, features, impact, design, decisions, create","AC9TDE6K03, AC9TDE6K05, AC9TDE6K04, AC9TDE6K02",High
Technologies,Design and Technologies,Years 5-6,Students select and justify design ideas and solutions against design criteria that include sustainability.,Processes and production skills,"select, justify, design, ideas, solutions, against, criteria, include, sustainability",AC9TDE6P04,High
Technologies,Design and Technologies,Years 5-6,They communicate design ideas to an audience using technical terms and graphical representation techniques.,Processes and production skills,"communicate, design, ideas, audience, technical, terms, graphical, representation, techniques",AC9TDE6P02,High
Technologies,Design and Technologies,Years 5-6,"Students develop project plans, including production processes, and select technologies and techniques to safely produce designed solutions.",Processes and production skills,"develop, project, plans, production, processes, select, technologies, techniques, safely, produce","AC9TDE6P05, AC9TDE6P03",High
Technologies,Design and Technologies,Years 7-8,"By the end of Year 8 students explain how people design, innovate and produce products, services and environments for preferred futures.",Knowledge and understanding,"year, explain, people, design, innovate, produce, products, services, environments, preferred","AC9TDE8K01, AC9TDE8K02",High
Technologies,Design and Technologies,Years 7-8,"For each of the 4 prescribed technologies contexts they explain how the features of technologies impact on design decisions, and create designed solutions based on analysis of needs or opportunities.",Knowledge and understanding,"each, prescribed, technologies, contexts, explain, features, impact, design, decisions, create","AC9TDE8K06, AC9TDE8K03, AC9TDE8K04, AC9TDE8K05",High
Technologies,Design and Technologies,Years 7-8,"Students create and adapt design ideas, processes and solutions, and justify their decisions against developed design criteria that include sustainability.",Processes and production skills,"create, adapt, design, ideas, processes, solutions, justify, decisions, against, developed","AC9TDE8P02, AC9TDE8P04",High
Technologies,Design and Technologies,Years 7-8,"They communicate design ideas and solutions to audiences using technical terms and graphical representation techniques, including using digital tools.",Processes and production skills,"communicate, design, ideas, solutions, audiences, technical, terms, graphical, representation, techniques",AC9TDE8P02,High
Technologies,Design and Technologies,Years 7-8,They independently and collaboratively document and manage production processes to safely produce designed solutions.,Processes and production skills,"independently, collaboratively, document, manage, production, processes, safely, produce, designed, solutions","AC9TDE8P03, AC9TDE8P05",High
Technologies,Design and Technologies,Years 9-10,"By the end of Year 10 students explain how people consider factors that impact on design decisions and the technologies used to design and produce products, services and environments for sustainable living.",Knowledge and understanding,"year, explain, people, consider, factors, impact, design, decisions, technologies, used",AC9TDE10K01,High
Technologies,Design and Technologies,Years 9-10,"They explain the contribution of innovation, enterprise skills and emerging technologies to global preferred futures.",Knowledge and understanding,"explain, contribution, innovation, enterprise, skills, emerging, technologies, global, preferred, futures",AC9TDE10K02,High
Technologies,Design and Technologies,Years 9-10,"For one or more of the technologies contexts, students explain the features of technologies and their appropriateness for purpose, and create designed solutions based on an analysis of needs or opportunities.",Knowledge and understanding,"more, technologies, contexts, explain, features, appropriateness, purpose, create, designed, solutions","AC9TDE10K03, AC9TDE10K04, AC9TDE10K05, AC9TDE10K06",High
