SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,HASS,Foundation,AC9HSFASC01,"By the end of Foundation, students identify significant people and events in their own lives, and how significant events are celebrated or commemorated.",Knowledge and understanding,"celebrated, commemorated, events, foundation, identify, lives, people, significant","AC9HSFK01,AC9HSFK02",High
HASS,HASS,Foundation,AC9HSFASC02,"Students recognise the features of familiar places, why some places are special to people and the ways they can care for them.",Knowledge and understanding,"care, familiar, features, people, places, recognise, some, special, ways","AC9HSFK03,AC9HSFS04",High
HASS,HASS,Foundation,AC9HSFASC03,"Students pose questions, and sort and record information from observations and provided sources.",Skills,"information, observations, pose, provided, questions, record, sort, sources","AC9HSFS01,AC9HSFS02",High
HASS,HASS,Foundation,AC9HSFASC04,They share a perspective and draw conclusions.,Skills,"conclusions, draw, perspective, share","AC9HSFS03,AC9HSFS04",High
HASS,HASS,Foundation,AC9HSFASC05,Students use sources and terms to share observations about places and the past.,Skills,"about, observations, past, places, share, sources, terms",AC9HSFS05,High
HASS,HASS,Year 1,AC9HS1ASC01,"By the end of Year 1, students identify continuity and change in family structures, roles and significant aspects of daily life.",Skills,"aspects, change, continuity, daily, family, identify, life, roles, significant, structures, year","AC9HS1K01,AC9HS1K02",High
HASS,HASS,Year 1,AC9HS1ASC02,"They identify the location and nature of the natural, managed and constructed features of local places, the ways places change, and how they can be cared for by people.",Knowledge and understanding,"cared, change, constructed, features, identify, local, location, managed, natural, nature, people, places, ways","AC9HS1K03,AC9HS1K04",High
HASS,HASS,Year 1,AC9HS1ASC03,"Students develop questions and collect, sort and record information and data from observations and provided sources.",Skills,"collect, data, develop, information, observations, provided, questions, record, sort, sources","AC9HS1S01,AC9HS1S02",High
HASS,HASS,Year 1,AC9HS1ASC04,They interpret information and discuss perspectives.,Skills,"discuss, information, interpret, perspectives","AC9HS1S03,AC9HS1S04",High
HASS,HASS,Year 1,AC9HS1ASC05,They draw conclusions and make proposals.,Skills,"conclusions, draw, make, proposals",AC9HS1S05,High
HASS,HASS,Year 1,AC9HS1ASC06,"Students share narratives and observations about people, places and the past, drawing on sources and incorporating subject-specific terms.",Skills,"about, drawing, incorporating, narratives, observations, past, people, places, share, sources, subject-specific, terms",AC9HS1S06,High
HASS,HASS,Year 2,AC9HS2ASC01,"By the end of Year 2, students identify the significance of a local person, group, place and/or building.",Knowledge and understanding,"and/or, building, group, identify, local, person, place, significance, year",AC9HS2K01,High
HASS,HASS,Year 2,AC9HS2ASC02,They identify the effects of changes in technologies on people’s lives.,Knowledge and understanding,"changes, effects, identify, lives, people’s, technologies",AC9HS2K02,High
HASS,HASS,Year 2,AC9HS2ASC03,Students identify that places can be spatially represented in different geographical divisions.,Knowledge and understanding,"different, divisions, geographical, identify, places, represented, spatially",AC9HS2K03,High
HASS,HASS,Year 2,AC9HS2ASC04,They identify how people and places are interconnected both at local and broader scales.,Knowledge and understanding,"broader, identify, interconnected, local, people, places, scales",AC9HS2K04,High
HASS,HASS,Year 2,AC9HS2ASC05,"Students develop questions, and collect, sort and record related information and data from observations and provided sources.",Skills,"collect, data, develop, information, observations, provided, questions, record, related, sort, sources","AC9HS2S01,AC9HS2S02",High
HASS,HASS,Year 2,AC9HS2ASC06,"They interpret information and data, and identify and discuss perspectives.",Skills,"data, discuss, identify, information, interpret, perspectives","AC9HS2S03,AC9HS2S04",High
HASS,HASS,Year 2,AC9HS2ASC07,Students use interpretations to draw conclusions and make proposals.,Skills,"conclusions, draw, interpretations, make, proposals",AC9HS2S05,High
HASS,HASS,Year 2,AC9HS2ASC08,"Students use sources, and subject-specific terms to present narratives and observations about the past, people and places at different scales.",Skills,"about, different, narratives, observations, past, people, places, present, scales, sources, subject-specific, terms",AC9HS2S06,High
HASS,HASS,Year 3,AC9HS3ASC01,"By the end of Year 3, students describe the causes, effects and contributions of people to change.",Knowledge and understanding,"causes, change, contributions, describe, effects, people, year",AC9HS3K01,High
HASS,HASS,Year 3,AC9HS3ASC02,"They identify the significance of events, symbols and emblems to Australia’s identity and diversity.",Knowledge and understanding,"australia’s, diversity, emblems, events, identify, identity, significance, symbols",AC9HS3K02,High
HASS,HASS,Year 3,AC9HS3ASC03,They describe the representation of places within and near Australia.,Knowledge and understanding,"australia, describe, near, places, representation, within",AC9HS3K03,High
HASS,HASS,Year 3,AC9HS3ASC04,"They identify the similarities, differences and connections of people to places across those scales.",Knowledge and understanding,"across, connections, differences, identify, people, places, scales, similarities","AC9HS3K04,AC9HS3K05",High
HASS,HASS,Year 3,AC9HS3ASC05,Students describe the importance of rules and people’s contributions to communities.,Knowledge and understanding,"communities, contributions, describe, importance, people’s, rules","AC9HS3K06,AC9HS3K07",High
HASS,HASS,Year 3,AC9HS3ASC06,"Students develop questions and locate, collect and record information and data from different sources.",Skills,"collect, data, develop, different, information, locate, questions, record, sources","AC9HS3S01,AC9HS3S02",High
HASS,HASS,Year 3,AC9HS3ASC07,They interpret information and data in different formats.,Skills,"data, different, formats, information, interpret",AC9HS3S03,High
HASS,HASS,Year 3,AC9HS3ASC08,They analyse information and data to identify perspectives and they draw conclusions.,Skills,"analyse, conclusions, data, draw, identify, information, perspectives","AC9HS3S04,AC9HS3S05",High
HASS,HASS,Year 3,AC9HS3ASC09,They propose actions or responses.,Skills,"actions, propose, responses",AC9HS3S06,High
HASS,HASS,Year 3,AC9HS3ASC10,"Students use ideas from sources, and subject-specific terms to present descriptions and explanations",Skills,"descriptions, explanations, ideas, present, sources, subject-specific, terms",AC9HS3S07,High
HASS,HASS,Year 4,AC9HS4ASC01,"By the end of Year 4, students describe the diversity of experiences of people in Australia prior to and following 1788.",Knowledge and understanding,"1788, australia, describe, diversity, experiences, following, people, prior, year","AC9HS4K01,AC9HS4K03",High
HASS,HASS,Year 4,AC9HS4ASC02,They describe the events and causes of the establishment of the first British colony in Australia.,Knowledge and understanding,"australia, british, causes, colony, describe, establishment, events, first",AC9HS4K02,High
HASS,HASS,Year 4,AC9HS4ASC03,They describe the effects of colonisation on people and environments.,Knowledge and understanding,"colonisation, describe, effects, environments, people",AC9HS4K04,High
HASS,HASS,Year 4,AC9HS4ASC04,"Students describe the importance of environments, and sustainable allocation and management of resources.",Knowledge and understanding,"allocation, describe, environments, importance, management, resources, sustainable","AC9HS4K05,AC9HS4K06",High
HASS,HASS,Year 4,AC9HS4ASC05,"They describe the importance and role of local government, community members and laws, and the cultural and social factors that shape identity.",Knowledge and understanding,"community, cultural, describe, factors, government, identity, importance, laws, local, members, role, shape, social","AC9HS4K07,AC9HS4K08,AC9HS4K09",High
HASS,HASS,Year 4,AC9HS4ASC06,"Students develop questions and locate, collect and record information and data from a range of sources and formats.",Skills,"collect, data, develop, formats, information, locate, questions, range, record, sources","AC9HS4S01,AC9HS4S02",High
HASS,HASS,Year 4,AC9HS4ASC07,"They interpret and analyse information and data to identify perspectives, and draw conclusions.",Skills,"analyse, conclusions, data, draw, identify, information, interpret, perspectives"," AC9HS4S03,AC9HS4S04,AC9HS4S05",High
HASS,HASS,Year 4,AC9HS4ASC08,Students propose considered actions or responses.,Skills,"actions, considered, propose, responses",AC9HS4S06,High
HASS,HASS,Year 4,AC9HS4ASC09,Students use ideas from sources and relevant subject-specific terms to present descriptions and explanations.,Skills,"descriptions, explanations, ideas, present, relevant, sources, subject-specific, terms",AC9HS4S07,High
HASS,HASS,Year 5,AC9HS5ASC01,"By the end of Year 5, students explain the causes of the establishment of British colonies in Australia after 1800.",Knowledge and understanding,"1800, after, australia, british, causes, colonies, establishment, explain, year",AC9HS5K01,High
HASS,HASS,Year 5,AC9HS5ASC02,They explain the roles of significant individuals or groups in the development of an Australian colony and the impact of those developments.,Knowledge and understanding,"australian, colony, development, developments, explain, groups, impact, individuals, roles, significant","AC9HS5K02,AC9HS5K03",High
HASS,HASS,Year 5,AC9HS5ASC03,They explain the influence of people on the characteristics of places and in the management of spaces.,Knowledge and understanding,"characteristics, explain, influence, management, people, places, spaces","AC9HS5K04,AC9HS5K05",High
HASS,HASS,Year 5,AC9HS5ASC04,Students explain the key values and features of Australia’s democracy and how people achieve civic goals.,Knowledge and understanding,"achieve, australia’s, civic, democracy, explain, features, goals, people, values","AC9HS5K06,AC9HS5K07",High
HASS,HASS,Year 5,AC9HS5ASC05,"They explain the nature of resources, and how they meet needs and wants.",Knowledge and understanding,"explain, meet, nature, needs, resources, wants",AC9HS5K08,High
HASS,HASS,Year 5,AC9HS5ASC06,"Students develop questions and locate, collect and organise information and data from primary and secondary sources.",Skills,"collect, data, develop, information, locate, organise, primary, questions, secondary, sources","AC9HS5S01,AC9HS5S02",High
HASS,HASS,Year 5,AC9HS5ASC07,They evaluate sources to determine origin and perspectives.,Skills,"determine, evaluate, origin, perspectives, sources",AC9HS5S04,High
HASS,HASS,Year 5,AC9HS5ASC08,Students evaluate information and data to identify and describe patterns or trends.,Skills,"data, describe, evaluate, identify, information, patterns, trends",AC9HS5S03,High
HASS,HASS,Year 5,AC9HS5ASC09,They suggest conclusions based on evidence.,Skills,"based, conclusions, evidence, suggest",AC9HS5S05,High
HASS,HASS,Year 5,AC9HS5ASC10,Students consider criteria in proposing actions or responses.,Skills,"actions, consider, criteria, proposing, responses",AC9HS5S06,High
HASS,HASS,Year 5,AC9HS5ASC11,"Students select ideas and findings from sources and use relevant terms and conventions, to present descriptions and explanations.",Skills,"conventions, descriptions, explanations, findings, ideas, present, relevant, select, sources, terms",AC9HS5S07,High
