SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Health and Physical Education,Health and Physical Education,Years 7-8,"By the end of Year 8, students analyse factors that influence identities, emotions and responses to change, and describe strategies to respond to these influences.","Personal, social and community health","analyse,change,describe,emotions,factors,identities,influence,influences,respond,responses,strategies,students,year","AC9HP8P01,AC9HP8P02",High
Health and Physical Education,Health and Physical Education,Years 7-8,"They analyse how stereotypes, respect, empathy and valuing diversity influence relationships.","Personal, social and community health","analyse,diversity,empathy,influence,relationships,respect,stereotypes,valuing","AC9HP8P04,AC9HP8P05,AC9HP8P03",High
Health and Physical Education,Health and Physical Education,Years 7-8,"Students analyse the effectiveness of assertive communication strategies, protective behaviours and help-seeking strategies applied online and offline.","Personal, social and community health","analyse,applied,assertive,behaviours,communication,effectiveness,help-seeking,offline,online,protective,strategies,students","AC9HP8P08,AC9HP8P07",High
Health and Physical Education,Health and Physical Education,Years 7-8,"They analyse health information and messages to propose strategies that enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","analyse,enhance,health,information,messages,others’,propose,relationships,safety,strategies,wellbeing","AC9HP8P10,AC9HP8P09",High
Health and Physical Education,Health and Physical Education,Years 7-8,Students apply and transfer movement skills and movement concepts across a range of situations.,"Personal, social and community health","across,apply,concepts,movement,range,situations,skills,students,transfer","AC9HP8M01,AC9HP8M03",High
Health and Physical Education,Health and Physical Education,Years 7-8,They implement and evaluate the effectiveness of movement strategies on movement outcomes.,"Personal, social and community health","effectiveness,evaluate,implement,movement,outcomes,strategies","AC9HP8M02,AC9HP8M07",High
Health and Physical Education,Health and Physical Education,Years 7-8,"Students propose and evaluate strategies designed to achieve personal health, fitness and wellbeing outcomes.","Personal, social and community health","achieve,designed,evaluate,fitness,health,outcomes,personal,propose,strategies,students,wellbeing","AC9HP8M06,AC9HP8M04,AC9HP8M05",High
Health and Physical Education,Health and Physical Education,Years 7-8,"They select, use and refine strategies to support inclusion, fair play and collaboration across a range of movement contexts.","Personal, social and community health","across,collaboration,contexts,fair,inclusion,movement,play,range,refine,select,strategies,support","AC9HP8M08,AC9HP8P09",High
Health and Physical Education,Health and Physical Education,Years 9-10,"By the end of Year 10, students propose and evaluate personal strategies to manage their identities, emotions and responses to change.","Personal, social and community health","change,emotions,evaluate,identities,manage,personal,propose,responses,strategies,students,year","AC9HP10P01,AC9HP10P02",High
Health and Physical Education,Health and Physical Education,Years 9-10,"They evaluate how attitudes and beliefs about equality, respect, diversity and inclusion influence the nature and quality of relationships.","Personal, social and community health","about,attitudes,beliefs,diversity,equality,evaluate,inclusion,influence,nature,quality,relationships,respect","AC9HP10P03,AC9HP10P04,AC9HP10P05",High
Health and Physical Education,Health and Physical Education,Years 9-10,"Students propose and justify strategies to manage online and offline situations where their own or others’ health, safety, relationships or wellbeing may be at risk.","Personal, social and community health","health,justify,manage,offline,online,others’,propose,relationships,risk,safety,situations,strategies,students,wellbeing,where","AC9HP10P08,AC9HP10P07",High
Health and Physical Education,Health and Physical Education,Years 9-10,"They synthesise health information from credible sources to propose and justify strategies to enhance their own and others’ health, safety, relationships and wellbeing.","Personal, social and community health","credible,enhance,health,information,justify,others’,propose,relationships,safety,sources,strategies,synthesise,wellbeing","AC9HP10P10,AC9HP10P09",High
Health and Physical Education,Health and Physical Education,Years 9-10,"Students evaluate and refine their own and others’ movement skills and performances, and apply movement concepts in challenging or unfamiliar situations.",Movement and physical activity,"apply,challenging,concepts,evaluate,movement,others’,performances,refine,situations,skills,students,unfamiliar","AC9HP10M01,AC9HP10M03",High
Health and Physical Education,Health and Physical Education,Years 9-10,They adapt and transfer movement strategies to unfamiliar situations to achieve successful outcomes.,Movement and physical activity,"achieve,adapt,movement,outcomes,situations,strategies,successful,transfer,unfamiliar",AC9HP10M02,High
Health and Physical Education,Health and Physical Education,Years 9-10,"Students propose and evaluate community-based physical activity interventions designed to improve the health, fitness and wellbeing of themselves and others.","Personal, social and community health","activity,community-based,designed,evaluate,fitness,health,improve,interventions,others,physical,propose,students,themselves,wellbeing","AC9HP10P04,AC9HP10P05,AC9HP10P06",High
Health and Physical Education,Health and Physical Education,Years 9-10,"They apply and evaluate leadership approaches, collaboration strategies and ethical behaviours across a range of movement contexts.","Personal, social and community health","across,apply,approaches,behaviours,collaboration,contexts,ethical,evaluate,leadership,movement,range,strategies","AC9HP10P08,AC9HP10P09",High
