SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Dance,Years 7-8,"By the end of Year 8, students analyse how the elements of dance, choreographic devices and/or production elements are manipulated in dance they create and/or experience.",Exploring and responding,"analyse,choreographic,create,dance,devices,elements,end,experience,manipulated,production,students,year",AC9ADA8E01,High
The Arts,Dance,Years 7-8,"They evaluate the ways that dance works and/or performances in a range of styles and/or from across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Exploring and responding,"across,communicate,contexts,cultures,dance,evaluate,ideas,meaning,performances,perspectives,places,range,styles,times,ways,works","AC9ADA8E01, AC9ADA8E02",High
The Arts,Dance,Years 7-8,"They describe respectful approaches to creating, performing and/or responding to dance.",Exploring and responding,"approaches,creating,dance,describe,performing,respectful,responding",AC9ADA8E02,High
The Arts,Dance,Years 7-8,"Students manipulate the elements of dance and choreographic devices to choreograph dance that communicate ideas, perspectives and/or meaning.",Developing practices and skills,"choreograph,choreographic,communicate,dance,devices,elements,ideas,manipulate,meaning,perspectives,students","AC9ADA8D01, AC9ADA8D02",High
The Arts,Dance,Years 7-8,They demonstrate safe dance practice when choreographing and performing dance.,Developing practices and skills,"choreographing,dance,demonstrate,performing,practice,safe","AC9ADA8D01, AC9ADA8D02",High
The Arts,Dance,Years 7-8,"They employ technical and expressive skills and, as appropriate, genre- or style-specific techniques when performing dances for audiences.",Presenting and performing,"appropriate,audiences,dances,employ,expressive,genre,performing,skills,style-specific,technical,techniques",AC9ADA8P01,High
The Arts,Dance,Years 9-10,"By the end of Year 10, students analyse how and/or why the elements of dance, choreographic devices, genre- or style-specific techniques, production elements, and/or technical and expressive skills are manipulated in dance they create and/or experience.",Exploring and responding,"analyse,choreographic,create,dance,devices,elements,end,experience,expressive,genre,manipulated,production,skills,students,style-specific,technical,techniques,year",AC9ADA10E01,High
The Arts,Dance,Years 9-10,"They evaluate how dance works and/or performances in a range of styles and/or from across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Exploring and responding,"across,communicate,contexts,cultures,dance,evaluate,ideas,meaning,performances,perspectives,places,range,styles,times,works","AC9ADA10E01,AC9ADA10E02",High
The Arts,Dance,Years 9-10,They evaluate how dance is used to celebrate and challenge perspectives of Australian identity.,Exploring and responding,"australian,celebrate,challenge,dance,evaluate,identity,perspectives,used",AC9ADA10E02,High
The Arts,Dance,Years 9-10,"Students select and manipulate the elements of dance, choreographic devices and/or structure to choreograph dances.",Developing practices and skills,"choreograph,choreographic,dance,dances,devices,elements,manipulate,select,structure,students","AC9ADA10D01, AC9ADA10D02",High
The Arts,Dance,Years 9-10,They demonstrate safe dance practice when choreographing and performing dance.,Developing practices and skills,"choreographing,dance,demonstrate,performing,practice,safe","AC9ADA10D01, AC9ADA10D02",High
The Arts,Dance,Years 9-10,"They employ technical and expressive skills and genre- or style-specific techniques to enhance communication of ideas, perspectives and/or meaning when performing dance for audiences.",Developing practices and skills,"audiences,communication,dance,employ,enhance,expressive,genre,ideas,meaning,performing,perspectives,skills,style-specific,technical,techniques","AC9ADA10D01, AC9ADA10D02",High
