SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,Civics and Citizenship,Year 7,"By the end of Year 7, students describe the key features of Australia’s system of government, and the principles and features of the Australian legal system.",Knowledge and understanding,"australian,australia’s,describe,features,government,legal,principles,students,system,year","AC9HC7K01,AC9HC7K03",High
HASS,Civics and Citizenship,Year 7,They explain the characteristics of Australian democracy.,Knowledge and understanding,"australian,characteristics,democracy,explain",AC9HC7K02,High
HASS,Civics and Citizenship,Year 7,"Students describe the nature of Australian society, its cultural and religious diversity, and identify the values that support cohesion in Australian society.
Students develop questions and locate, select and organise information from sources to investigate political and legal systems, and contemporary civic issues.",Skills,"australian,civic,cohesion,contemporary,cultural,describe,develop,diversity,identify,information,investigate,issues,legal,locate,nature,organise,political,questions,religious,select,society,sources,students,support,systems,values","AC9HC7S01,AC9HC7S03,AC9HC7S02",High
HASS,Civics and Citizenship,Year 7,"They analyse information and identify perspectives and challenges related to political, legal or civic issues.",Skills,"analyse,challenges,civic,identify,information,issues,legal,perspectives,political,related",AC9HC7S03,High
HASS,Civics and Citizenship,Year 7,They identify and describe the methods or strategies related to civic participation or action.,Skills,"action,civic,describe,identify,methods,participation,related,strategies",AC9HC7S04,High
HASS,Civics and Citizenship,Year 7,"Students use civics and citizenship concepts, terms and sources to create descriptions, explanations and arguments.",Skills,"arguments,citizenship,civics,concepts,create,descriptions,explanations,sources,students,terms",AC9HC7S05,High
HASS,Civics and Citizenship,Year 8,"By the end of Year 8, students explain how Australians are informed about and participate in their democracy.",Knowledge and understanding,"about,australians,democracy,explain,informed,participate,students,year",AC9HC8K01,High
HASS,Civics and Citizenship,Year 8,They describe the roles of political parties and elected representatives in Australian government.,Knowledge and understanding,"australian,describe,elected,government,parties,political,representatives,roles",AC9HC8K02,High
HASS,Civics and Citizenship,Year 8,"They explain the characteristics of laws, how laws are made and the types of law in Australia.",Knowledge and understanding,"australia,characteristics,explain,laws,made,types","AC9HC8K03,AC9HC8K04",High
HASS,Civics and Citizenship,Year 8,"Students identify ways in which Australians express different aspects of their identity and explain perspectives on Australia’s national identity.
Students develop questions and locate, select and organise relevant information from different sources to investigate political and legal systems, and contemporary civic issues.",Skills,"aspects,australians,australia’s,civic,contemporary,develop,different,explain,express,identify,identity,information,investigate,issues,legal,locate,national,organise,perspectives,political,questions,relevant,select,sources,students,systems,ways","AC9HC8S01,AC9HC8S03,AC9HC8S02",High
HASS,Civics and Citizenship,Year 8,"They analyse information and identify and describe perspectives and challenges related to political, legal or civic issues.",Skills,"analyse,challenges,civic,describe,identify,information,issues,legal,perspectives,political,related",AC9HC8S03,High
HASS,Civics and Citizenship,Year 8,They explain the methods or strategies related to civic participation or action.,Skills,"action,civic,explain,methods,participation,related,strategies",AC9HC8S04,High
HASS,Civics and Citizenship,Year 8,"Students use civic and citizenship knowledge, concepts, terms and references to evidence from sources to create descriptions, explanations and arguments.",Skills,"arguments,citizenship,civic,concepts,create,descriptions,evidence,explanations,knowledge,references,sources,students,terms",AC9HC8S05,High
HASS,Civics and Citizenship,Year 9,"By the end of Year 9, students analyse the role of the Australian Constitution, the federal system of government, and the process and reasons for constitutional change.",Knowledge and understanding,"analyse,australian,change,constitution,constitutional,federal,government,process,reasons,role,students,system,year",AC9HC9K01,High
HASS,Civics and Citizenship,Year 9,They explain policy development and legislative processes in Australia’s democracy.,Knowledge and understanding,"australia’s,democracy,development,explain,legislative,policy,processes","AC9HC9K02,AC9HC9K01,AC9HC9K03",Medium
HASS,Civics and Citizenship,Year 9,They identify the key features and jurisdictions of Australia’s court system and explain the role and processes of courts and tribunals.,Knowledge and understanding,"australia’s,court,courts,explain,features,identify,jurisdictions,processes,role,system,tribunals",AC9HC9K03,High
HASS,Civics and Citizenship,Year 9,Students identify the reasons individuals and groups participate in and contribute to civic life nationally and globally.,Knowledge and understanding,"civic,contribute,globally,groups,identify,individuals,life,nationally,participate,reasons,students",AC9HC9K05,High
HASS,Civics and Citizenship,Year 9,"They explain the influence of the media on reflections of identity and diversity.
Students develop a range of questions and locate, select and compare information from sources to investigate political and legal systems, and contemporary civic issues.",Skills,"civic,compare,contemporary,develop,diversity,explain,identity,influence,information,investigate,issues,legal,locate,media,political,questions,range,reflections,select,sources,students,systems","AC9HC9S01,AC9HC9S02,AC9HC9K06",Medium
HASS,Civics and Citizenship,Year 9,"They analyse information to explain perspectives and challenges related to political, legal or civic issues.",Skills,"analyse,challenges,civic,explain,information,issues,legal,perspectives,political,related","AC9HC9S03,AC9HC9S01,AC9HC9S04",Medium
HASS,Civics and Citizenship,Year 9,Students identify and evaluate the methods or strategies related to civic participation or action.,Skills,"action,civic,evaluate,identify,methods,participation,related,strategies,students","AC9HC9S04,AC9HC9S03,AC9HC9K05",Medium
HASS,Civics and Citizenship,Year 9,"Students use civics and citizenship knowledge, concepts and terms to develop descriptions, explanations and evidence-based arguments.",Skills,"arguments,citizenship,civics,concepts,descriptions,develop,evidence-based,explanations,knowledge,students,terms","AC9HC9S05,AC9HC9K05,AC9HC9S01",Medium
HASS,Civics and Citizenship,Year 10,"By the end of Year 10, students compare the key features and values of Australia’s system of government to those of another system of government.",Knowledge and understanding,"another,australia’s,compare,features,government,students,system,values,year",AC9HC10K01,High
HASS,Civics and Citizenship,Year 10,They describe the Australian Government’s role and responsibilities at a regional and global level.,Knowledge and understanding,"australian,describe,global,government’s,level,regional,responsibilities,role",AC9HC10K02,High
HASS,Civics and Citizenship,Year 10,They explain the role of the High Court of Australia.,Knowledge and understanding,"australia,court,explain,high,role",AC9HC10K03,High
HASS,Civics and Citizenship,Year 10,They explain how Australia’s international legal obligations influence the law and government policy.,Knowledge and understanding,"australia’s,explain,government,influence,international,legal,obligations,policy",AC9HC10K04,High
HASS,Civics and Citizenship,Year 10,"They identify and explain challenges to a resilient democracy and a cohesive society in Australia.
Students develop and refine a range of questions and locate, select and compare relevant and reliable information from a range of sources to investigate political and legal systems, and contemporary civic issues.",Skills,"australia,challenges,civic,cohesive,compare,contemporary,democracy,develop,explain,identify,information,investigate,issues,legal,locate,political,questions,range,refine,relevant,reliable,resilient,select,society,sources,students,systems","AC9HC10S01,AC9HC10S02,AC9HC10S03",High
HASS,Civics and Citizenship,Year 10,"They analyse information to evaluate perspectives and challenges related to political, legal or civic issues.",Skills,"analyse,challenges,civic,evaluate,information,issues,legal,perspectives,political,related",AC9HC10S03,High
HASS,Civics and Citizenship,Year 10,They evaluate and compare the methods or strategies related to civic participation or action.,Skills,"action,civic,compare,evaluate,methods,participation,related,strategies",AC9HC10S04,High
HASS,Civics and Citizenship,Year 10,"Students use civics and citizenship knowledge, concepts and terms to develop descriptions, explanations and arguments that synthesise evidence from sources.",Skills,"arguments,citizenship,civics,concepts,descriptions,develop,evidence,explanations,knowledge,sources,students,synthesise,terms",AC9HC10S05,High
