SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Mathematics,Mathematics,Foundation,"By the end of Foundation Year, students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20.",Number,"foundation, year, make, connections, between, number, names, numerals, position, sequence",AC9MFN01,High
Mathematics,Mathematics,Foundation,They use subitising and counting strategies to quantify collections.,Measurement,"subitising, counting, strategies, quantify, collections","AC9MFN05, AC9MFN04, AC9MFN02, AC9MFN03",High
Mathematics,Mathematics,Foundation,Students compare the size of collections to at least 20.,General,"compare, size, collections, least",AC9MFN03,High
Mathematics,Mathematics,Foundation,"They partition and combine collections up to 10 in different ways, representing these with numbers.",Number,"partition, combine, collections, different, ways, representing, numbers","AC9MFN04, AC9MFN02",High
Mathematics,Mathematics,Foundation,"Students represent practical situations that involve quantifying, equal sharing, adding to and taking away from collections to at least 10.",General,"represent, practical, situations, involve, quantifying, equal, sharing, adding, taking, away","AC9MFN05, AC9MFN06, AC9MFN03",High
Mathematics,Mathematics,Foundation,They copy and continue repeating patterns.,General,"copy, continue, repeating, patterns",AC9MFA01,High
Mathematics,Mathematics,Foundation,"Students identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events.",Measurement,"identify, attributes, mass, capacity, length, duration, direct, comparison, strategies, compare",AC9MFM01,High
Mathematics,Mathematics,Foundation,They sequence and connect familiar events to the time of day.,Measurement,"sequence, connect, familiar, events, time",AC9MFM02,High
Mathematics,Mathematics,Foundation,"Students name, create and sort familiar shapes and give their reasoning.",Space,"name, create, sort, familiar, shapes, give, reasoning",AC9MFSP01,High
Mathematics,Mathematics,Foundation,They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space.,Space,"describe, position, location, themselves, objects, relation, other, people, within, familiar",AC9MFSP02,High
Mathematics,Mathematics,Foundation,"Students collect, sort and compare data in response to questions in familiar contexts.",Statistics,"collect, sort, compare, data, response, questions, familiar, contexts",AC9MFST01,High
Mathematics,Mathematics,Year 1,"By the end of Year 1, students connect number names, numerals and quantities, and order numbers to at least 120.",Number,"year, connect, number, names, numerals, quantities, order, numbers, least",AC9M1N01,High
Mathematics,Mathematics,Year 1,They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones.,Measurement,"demonstrate, digit, numbers, partitioned, different, ways, into, tens, ones","AC9M1N02, AC9M1N04",High
Mathematics,Mathematics,Year 1,"Students partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120.",General,"partition, collections, into, equal, groups, skip, count, twos, fives, tens",AC9M1N03,High
Mathematics,Mathematics,Year 1,"They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies.",Statistics,"solve, problems, involving, addition, subtraction, numbers, mathematical, modelling, practical, equal","AC9M1N05, AC9M1N06, AC9M1N04",High
Mathematics,Mathematics,Year 1,"Students use numbers, symbols and objects to create skip counting and repeating patterns, identifying the repeating unit.",Number,"numbers, symbols, objects, create, skip, counting, repeating, patterns, identifying, unit","AC9M1A02, AC9M1A01",High
Mathematics,Mathematics,Year 1,"They compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating reasoning.",Measurement,"compare, order, objects, events, based, attributes, length, mass, capacity, duration","AC9M1M01, AC9M1M03",High
Mathematics,Mathematics,Year 1,Students measure the length of shapes and objects using uniform informal units.,Space,"measure, length, shapes, objects, uniform, informal, units",AC9M1M02,High
Mathematics,Mathematics,Year 1,"They make, compare and classify shapes and objects using obvious features.",Space,"make, compare, classify, shapes, objects, obvious, features",AC9M1SP01,High
Mathematics,Mathematics,Year 1,Students give and follow directions to move people and objects within a space.,Space,"give, follow, directions, move, people, objects, within, space",AC9M1SP02,High
Mathematics,Mathematics,Year 1,"They collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies.",Statistics,"collect, record, categorical, data, create, displays, compare, discuss, frequencies","AC9M1ST02, AC9M1ST01",High
Mathematics,Mathematics,Year 2,"By the end of Year 2, students order and represent numbers to at least 1000, apply knowledge of place value to partition, rearrange and rename two- and three-digit numbers in terms of their parts, and regroup partitioned numbers to assist in calculations.",Statistics,"year, order, represent, numbers, least, apply, knowledge, place, value, partition","AC9M2N01, AC9M2N02, AC9M2N04, AC9M2N05",High
Mathematics,Mathematics,Year 2,"They use mathematical modelling to solve practical additive and multiplicative problems, including money transactions, representing the situation and choosing calculation strategies.",Statistics,"mathematical, modelling, solve, practical, additive, multiplicative, problems, money, transactions, representing","AC9M2N06, AC9M2N04, AC9M2N05",High
Mathematics,Mathematics,Year 2,"Students identify and represent part-whole relationships of halves, quarters and eighths in measurement contexts.",Measurement,"identify, represent, part, whole, relationships, halves, quarters, eighths, measurement, contexts","AC9M2M02, AC9M2M04, AC9M2M05",High
Mathematics,Mathematics,Year 2,They describe and continue patterns that increase and decrease additively by a constant amount and identify missing elements in the pattern.,General,"describe, continue, patterns, increase, decrease, additively, constant, amount, identify, missing",AC9M2A01,High
Mathematics,Mathematics,Year 2,Students recall and demonstrate proficiency with addition and subtraction facts within 20 and multiplication facts for twos.,Algebra,"recall, demonstrate, proficiency, addition, subtraction, facts, within, multiplication, twos","AC9M2A02, AC9M2A03",High
Mathematics,Mathematics,Year 2,They use uniform informal units to measure and compare shapes and objects.,Measurement,"uniform, informal, units, measure, compare, shapes, objects",AC9M2M01,High
Mathematics,Mathematics,Year 2,"Students determine the number of days between events using a calendar and read time on an analog clock to the hour, half hour and quarter hour.",Measurement,"determine, number, days, between, events, calendar, read, time, analog, clock","AC9M2M03, AC9M2M04",High
Mathematics,Mathematics,Year 2,"They compare and classify shapes, describing features using formal spatial terms.",Space,"compare, classify, shapes, describing, features, formal, spatial, terms",AC9M2SP01,High
Mathematics,Mathematics,Year 2,Students locate and identify positions of features in two-dimensional representations and move position by following directions and pathways.,Space,"locate, identify, positions, features, dimensional, representations, move, position, following, directions",AC9M2SP02,High
Mathematics,Mathematics,Year 2,"They use a range of methods to collect, record, represent and interpret categorical data in response to questions.",Statistics,"range, methods, collect, record, represent, interpret, categorical, data, response, questions","AC9M2ST01, AC9M2ST02",High
Mathematics,Mathematics,Year 3,"By the end of Year 3, students order and represent natural numbers beyond 10 000.",Number,"year, order, represent, natural, numbers, beyond",AC9M3N01,High
Mathematics,Mathematics,Year 3,"They partition, rearrange and regroup two- and three-digit numbers in different ways to assist in calculations.",Number,"partition, rearrange, regroup, three, digit, numbers, different, ways, assist, calculations",AC9M3N03,High
Mathematics,Mathematics,Year 3,Students extend and use single-digit addition and related subtraction facts and apply additive strategies to model and solve problems involving two- and three-digit numbers.,Number,"extend, single, digit, addition, related, subtraction, facts, apply, additive, strategies","AC9M3N06, AC9M3N03",High
Mathematics,Mathematics,Year 3,"They use mathematical modelling to solve practical problems involving single-digit multiplication and division, recalling multiplication facts for twos, threes, fours, fives and tens, and using a range of strategies.",Number,"mathematical, modelling, solve, practical, problems, involving, single, digit, multiplication, division","AC9M3N06, AC9M3N04",High
Mathematics,Mathematics,Year 3,Students represent unit fractions and their multiples in different ways.,Number,"represent, unit, fractions, multiples, different, ways",AC9M3N02,High
Mathematics,Mathematics,Year 3,They make estimates and determine the reasonableness of financial and other calculations.,Number,"make, estimates, determine, reasonableness, financial, other, calculations","AC9M3N05, AC9M3N06",High
Mathematics,Mathematics,Year 3,Students find unknown values in number sentences involving addition and subtraction.,Algebra,"find, unknown, values, number, sentences, involving, addition, subtraction",AC9M3A01,High
Mathematics,Mathematics,Year 3,They create algorithms to investigate numbers and explore simple patterns.,Number,"create, algorithms, investigate, numbers, explore, simple, patterns",AC9M3N07,High
Mathematics,Mathematics,Year 3,"Students use familiar metric units when estimating, comparing and measuring the attributes of objects and events.",Measurement,"familiar, metric, units, when, estimating, comparing, measuring, attributes, objects, events","AC9M3M02, AC9M3M01, AC9M3M03",High
Mathematics,Mathematics,Year 3,They identify angles as measures of turn and compare them to right angles.,Space,"identify, angles, measures, turn, compare, right",AC9M3M05,High
Mathematics,Mathematics,Year 3,Students estimate and compare measures of duration using formal units of time.,Measurement,"estimate, compare, measures, duration, formal, units, time","AC9M3M03, AC9M3M04",High
Mathematics,Mathematics,Year 3,They represent money values in different ways.,Measurement,"represent, money, values, different, ways",AC9M3M06,High
Mathematics,Mathematics,Year 3,"Students make, compare and classify objects using key features.",Space,"make, compare, classify, objects, features",AC9M3SP01,High
Mathematics,Mathematics,Year 3,They interpret and create two-dimensional representations of familiar environments.,Space,"interpret, create, dimensional, representations, familiar, environments",AC9M3SP02,High
Mathematics,Mathematics,Year 3,Students conduct guided statistical investigations involving categorical and discrete numerical data and interpret their results in terms of the context.,Statistics,"conduct, guided, statistical, investigations, involving, categorical, discrete, numerical, data, interpret","AC9M3ST03, AC9M3ST01, AC9M3ST02",High
Mathematics,Mathematics,Year 3,"They record, represent and compare data they have collected.",Statistics,"record, represent, compare, data, collected","AC9M3ST01, AC9M3ST02",High
Mathematics,Mathematics,Year 3,"Students use practical activities, observation or experiment to identify and describe outcomes and the likelihood of everyday events explaining reasoning.",Probability,"practical, activities, observation, experiment, identify, describe, outcomes, likelihood, everyday, events","AC9M3P01, AC9M3P02",High
Mathematics,Mathematics,Year 3,They conduct repeated chance experiments and discuss variation in results.,Probability,"conduct, repeated, chance, experiments, discuss, variation, results",AC9M3P02,High
Mathematics,Mathematics,Year 4,"By the end of Year 4, students use their understanding of place value to represent tenths and hundredths in decimal form and to multiply natural numbers by multiples of 10.",Number,"year, understanding, place, value, represent, tenths, hundredths, decimal, form, multiply","AC9M4N01, AC9M4N05",High
Mathematics,Mathematics,Year 4,"They use mathematical modelling to solve financial and other practical problems, formulating the problem using number sentences, solving the problem choosing efficient strategies and interpreting the results in terms of the situation.",Number,"mathematical, modelling, solve, financial, other, practical, problems, formulating, problem, number","AC9M4N08, AC9M4N06",High
Mathematics,Mathematics,Year 4,"Students use their proficiency with addition and multiplication facts to add and subtract, multiply and divide numbers efficiently.",Number,"proficiency, addition, multiplication, facts, subtract, multiply, divide, numbers, efficiently","AC9M4N06, AC9M4N08",High
Mathematics,Mathematics,Year 4,They choose rounding and estimation strategies to determine whether results of calculations are reasonable.,Measurement,"choose, rounding, estimation, strategies, determine, whether, results, calculations, reasonable",AC9M4N07,High
Mathematics,Mathematics,Year 4,Students use the properties of odd and even numbers.,Number,"properties, even, numbers",AC9M4N02,High
Mathematics,Mathematics,Year 4,They recognise equivalent fractions and make connections between fraction and decimal notations.,Number,"recognise, equivalent, fractions, make, connections, between, fraction, decimal, notations","AC9M4N03, AC9M4N01",High
Mathematics,Mathematics,Year 4,Students count and represent fractions on a number line.,Number,"count, represent, fractions, number, line",AC9M4N04,High
Mathematics,Mathematics,Year 4,They find unknown values in numerical equations involving addition and subtraction.,Algebra,"find, unknown, values, numerical, equations, involving, addition, subtraction",AC9M4A01,High
