SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Media Arts,Foundation,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Exploring and responding,"foundation, year, students, describe, experiences, observations, ideas, feelings",AC9AMAFE01,High
The Arts,Media Arts,Foundation,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Presenting and performing,"arts, students, play, imagination, knowledge, processes, skills, create",AC9AMAFP01,High
The Arts,Media Arts,Years 1-2,"By the end of Year 2, students identify where they experience media arts.",Exploring and responding,"year, students, identify, experience, media, arts",AC9AMA2E01,High
The Arts,Media Arts,Years 1-2,"They describe where, why and/or how people across cultures, communities and/or other contexts experience media arts.",Exploring and responding,"describe, people, cultures, communities, other, contexts, experience, media","AC9AMA2E01, AC9AMA2E02",High
The Arts,Media Arts,Years 1-2,Students use media languages and media technologies to construct representations in media arts works.,Creating and making,"media, students, languages, technologies, construct, representations, arts, works",AC9AMA2C01,High
The Arts,Media Arts,Years 1-2,They share their work with audiences safely and in informal ways.,Presenting and performing,"share, work, audiences, safely, informal, ways",AC9AMA2P01,High
The Arts,Media Arts,Years 3-4,"By the end of Year 4, students describe the use of media languages and media technologies to construct representations in media arts works they experience and/or produce.",Creating and making,"media, year, students, describe, languages, technologies, construct, representations",AC9AMA4C01,High
The Arts,Media Arts,Years 3-4,"They describe where, why and/or how media arts works are created and/or distributed across cultures, times, places and/or other contexts.",Exploring and responding,"describe, media, arts, works, created, distributed, cultures, times","AC9AMA4E01, AC9AMA4E02",High
The Arts,Media Arts,Years 3-4,"Students use media languages, and media technologies and production processes to construct representations in media arts works.",Creating and making,"media, students, languages, technologies, production, processes, construct, representations",AC9AMA4C01,High
The Arts,Media Arts,Years 3-4,They share their work in informal settings using responsible media practice.,Presenting and performing,"share, work, informal, settings, responsible, media, practice",AC9AMA4P01,High
The Arts,Media Arts,Years 5-6,"By the end of Year 6, students explain how media languages and media technologies are used in media arts works they construct and/or experience.",Exploring and responding,"media, year, students, explain, languages, technologies, used, arts",AC9AMA6E01,High
The Arts,Media Arts,Years 5-6,"They describe how media arts works created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Exploring and responding,"describe, media, arts, works, created, cultures, times, places","AC9AMA6E01, AC9AMA6E02",High
The Arts,Media Arts,Years 5-6,They describe how media arts are used to continue and revitalise cultures.,Exploring and responding,"describe, media, arts, used, continue, revitalise, cultures",AC9AMA6E02,High
The Arts,Media Arts,Years 5-6,"Students use media languages, and media technologies and production processes to construct representations in media arts works for specific purposes and audiences.",Creating and making,"media, students, languages, technologies, production, processes, construct, representations",AC9AMA6C01,High
The Arts,Media Arts,Years 5-6,They present their work in informal and/or formal settings using responsible media practice.,Presenting and performing,"present, work, informal, formal, settings, responsible, media, practice",AC9AMA6P01,High
